time,src_ip,dst_ip,src_port,dst_port,protocol,length
2025-09-18 11:32:05.009655,52.42.23.36,192.168.1.130,443,56859,TCP,54
2025-09-18 11:32:05.012692,52.42.23.36,192.168.1.130,,,TLS,1506
2025-09-18 11:32:05.014850,52.42.23.36,192.168.1.130,443,56859,TCP,1506
2025-09-18 11:32:05.014944,192.168.1.130,52.42.23.36,56859,443,TCP,54
2025-09-18 11:32:05.016982,52.42.23.36,192.168.1.130,,,TLS,1412
2025-09-18 11:32:05.026680,192.168.1.130,52.42.23.36,,,TLS,180
2025-09-18 11:32:05.037197,,,,,QUIC,1292
2025-09-18 11:32:05.066366,,,,,QUIC,1292
2025-09-18 11:32:05.066957,,,,,QUIC,322
2025-09-18 11:32:05.067750,,,,,QUIC,1292
2025-09-18 11:32:05.068928,,,,,QUIC,1292
2025-09-18 11:32:05.069443,,,,,QUIC,230
2025-09-18 11:32:05.085743,,,,,QUIC,365
2025-09-18 11:32:05.085743,,,,,QUIC,122
2025-09-18 11:32:05.085743,,,,,QUIC,83
2025-09-18 11:32:05.085743,,,,,QUIC,144
2025-09-18 11:32:05.085985,,,,,QUIC,102
2025-09-18 11:32:05.090244,,,,,QUIC,93
2025-09-18 11:32:05.090816,,,,,QUIC,93
2025-09-18 11:32:05.091051,,,,,QUIC,88
2025-09-18 11:32:05.214386,52.42.23.36,192.168.1.130,,,TLS,105
2025-09-18 11:32:05.215913,192.168.1.130,52.42.23.36,,,TLS,254
2025-09-18 11:32:05.406007,52.42.23.36,192.168.1.130,,,TLS,236
2025-09-18 11:32:05.408328,192.168.1.130,52.42.23.36,,,TLS,85
2025-09-18 11:32:05.409550,192.168.1.130,52.42.23.36,56859,443,TCP,54
2025-09-18 11:32:05.596486,52.42.23.36,192.168.1.130,443,56859,TCP,54
2025-09-18 11:32:05.596486,52.42.23.36,192.168.1.130,443,56859,TCP,85
2025-09-18 11:32:05.596643,192.168.1.130,52.42.23.36,56859,443,TCP,54
2025-09-18 11:32:05.596967,192.168.1.130,52.42.23.36,56859,443,TCP,54
2025-09-18 11:32:05.597323,52.42.23.36,192.168.1.130,443,56859,TCP,54
2025-09-18 11:32:05.782742,52.42.23.36,192.168.1.130,443,56859,TCP,54
2025-09-18 11:32:06.214591,192.168.1.130,103.235.46.102,56861,80,TCP,66
2025-09-18 11:32:06.481654,103.235.46.102,192.168.1.130,80,56861,TCP,66
2025-09-18 11:32:06.481735,192.168.1.130,103.235.46.102,56861,80,TCP,54
2025-09-18 11:32:06.481870,192.168.1.130,103.235.46.102,56861,80,TCP,54
2025-09-18 11:32:06.521103,198.144.121.93,192.168.1.130,,,TLS,93
2025-09-18 11:32:06.521217,198.144.121.93,192.168.1.130,,,TLS,78
2025-09-18 11:32:06.521251,192.168.1.130,198.144.121.93,56803,443,TCP,54
2025-09-18 11:32:06.521438,192.168.1.130,198.144.121.93,56803,443,TCP,54
2025-09-18 11:32:06.563581,198.144.121.93,192.168.1.130,443,56803,TCP,54
2025-09-18 11:32:06.580207,,,443,56764,TCP,98
2025-09-18 11:32:07.272076,192.168.1.130,103.235.46.102,56861,80,TCP,54
2025-09-18 11:32:07.652453,192.168.1.130,103.235.46.102,56852,80,TCP,54
2025-09-18 11:32:08.842425,192.168.1.130,103.235.46.102,56861,80,TCP,54
2025-09-18 11:32:09.713423,192.168.1.130,103.235.46.102,56849,80,TCP,54
2025-09-18 11:32:09.715576,,,,,ICMPV6,86
2025-09-18 11:32:09.715625,,,,,ICMPV6,86
2025-09-18 11:32:09.888577,192.168.1.130,90.84.199.140,,,TLS,1039
2025-09-18 11:32:09.949535,90.84.199.140,192.168.1.130,,,TLS,532
2025-09-18 11:32:09.989461,192.168.1.130,90.84.199.140,56729,443,TCP,54
